YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1966,1,5,-,6,11,89,1,9,3,-,7,4,3,2,6,2,12,6,26,1,6,9,10,84,3,1,5,2,-,3,3,21,13,-,8,1,40,-,14,26,6,4,-,93,62,1,-,11,5,1,15,1
1966,2,3,6,25,6,122,3,8,3,-,11,-,1,2,28,8,5,4,23,8,17,10,10,47,3,9,5,-,-,4,1,25,15,74,14,1,25,-,19,38,-,2,-,32,40,4,-,12,9,4,9,-
1966,3,2,-,9,2,98,-,5,2,-,18,-,2,-,24,10,4,8,17,10,14,6,17,71,2,4,5,2,4,1,-,10,13,47,13,-,23,1,14,39,1,1,-,39,51,6,-,14,9,3,10,1
1966,4,4,1,18,9,132,5,4,1,-,11,2,-,1,33,19,2,3,18,5,7,8,18,71,11,11,6,-,-,-,2,18,21,71,11,1,29,-,21,66,4,3,1,26,41,19,-,10,6,9,3,2
1966,5,7,1,12,9,130,7,1,2,-,18,-,-,5,30,15,21,9,44,9,4,7,13,50,13,10,5,1,-,2,-,15,23,44,9,2,45,1,24,30,1,2,-,19,39,1,1,29,13,4,5,-
1966,6,4,1,9,8,143,15,1,1,1,12,-,-,-,24,14,4,9,26,6,10,16,8,46,9,9,6,3,-,-,3,14,13,46,13,1,30,4,29,44,8,1,-,27,46,4,-,9,18,6,7,2
1966,7,-,3,8,6,149,8,4,2,-,11,3,2,5,18,10,4,3,20,9,6,20,6,81,4,8,29,-,-,-,3,12,20,57,7,-,27,-,9,36,-,4,2,23,36,7,2,15,10,15,11,3
1966,8,16,-,12,7,101,11,9,1,-,19,5,-,3,17,10,6,4,81,6,8,9,6,64,15,3,66,-,-,-,1,6,15,39,8,-,43,1,14,54,-,-,1,19,36,5,-,16,11,6,10,-
1966,9,3,2,6,8,101,8,1,-,-,22,3,-,1,47,7,15,1,47,11,9,18,8,115,5,6,16,4,-,-,3,19,7,50,11,-,36,-,10,50,2,2,-,28,51,2,2,22,5,6,8,4
1966,10,14,11,7,9,106,14,3,-,1,20,3,1,4,22,12,10,4,32,7,3,23,10,80,9,5,13,-,1,-,4,24,9,-,8,-,45,-,5,35,-,4,-,28,42,2,3,23,10,11,7,1
1966,11,7,1,2,4,112,4,6,2,-,19,15,2,-,17,9,16,13,32,6,1,17,2,73,8,5,45,1,1,-,1,16,8,62,10,1,38,3,12,34,3,1,-,14,43,1,-,25,20,2,11,-
1966,12,8,-,12,12,93,4,2,1,2,17,2,1,-,41,9,20,8,36,11,2,19,10,57,7,5,12,2,-,-,-,12,1,58,13,-,32,7,46,33,2,1,-,28,35,3,1,6,5,7,2,-
1966,13,6,3,5,16,102,4,7,3,-,22,10,3,3,14,19,6,4,22,11,4,17,12,64,6,7,20,2,1,2,1,14,5,46,2,-,17,3,11,42,9,-,-,37,33,5,-,13,5,3,2,3
1966,14,6,-,8,1,101,11,6,3,3,16,13,-,1,26,8,19,6,17,3,1,18,12,62,7,4,29,-,3,-,4,15,8,45,5,3,33,6,9,26,4,1,-,16,29,7,1,7,5,2,8,3
1966,15,7,1,5,10,86,21,4,1,-,12,15,2,3,16,10,5,-,18,8,-,21,12,73,2,2,6,2,1,-,1,15,5,36,4,2,44,1,10,40,1,-,-,23,37,1,-,16,13,2,4,1
1966,16,19,1,3,9,110,-,4,-,-,15,16,4,2,4,11,5,3,35,10,3,31,27,41,1,10,28,3,-,1,1,19,6,39,12,2,30,1,18,27,-,1,-,17,38,2,-,8,13,8,6,-
1966,17,4,1,-,9,78,2,5,-,1,12,12,1,1,62,5,9,3,8,14,-,21,18,60,6,4,4,-,2,-,2,13,8,28,8,-,29,1,11,27,-,1,-,8,21,3,-,14,7,1,7,-
1966,18,17,-,5,7,96,-,4,4,1,26,11,1,4,26,2,16,5,11,15,4,13,20,27,5,7,17,1,5,-,-,38,8,45,10,-,19,-,18,38,3,1,1,24,35,1,-,7,5,-,6,-
1966,19,4,2,9,9,126,4,7,2,-,12,10,1,3,17,5,13,3,19,14,8,12,14,68,7,6,9,1,-,-,-,21,6,65,4,-,33,-,14,30,9,7,-,20,38,2,1,5,10,5,4,1
1966,20,11,-,4,5,106,7,2,-,2,19,5,2,-,7,11,13,2,9,6,2,29,16,39,6,2,19,4,3,-,-,27,1,45,7,-,47,1,19,34,-,1,1,16,35,-,-,9,10,5,4,1
1966,21,5,4,1,6,124,8,3,-,1,21,15,-,1,15,12,17,2,27,10,2,33,5,49,3,16,107,4,1,-,1,26,5,64,11,-,36,3,13,32,3,-,1,14,21,-,-,8,7,3,4,-
1966,22,3,1,3,4,106,5,4,-,-,9,7,-,-,13,13,17,2,12,8,5,25,6,28,3,1,7,1,2,-,1,25,3,47,1,1,14,3,8,31,4,1,-,24,36,3,1,7,13,4,3,1
1966,23,9,-,5,1,107,9,8,2,1,12,12,-,-,33,5,10,3,18,8,4,18,7,44,4,11,12,5,3,-,-,10,6,42,5,1,31,-,30,30,4,-,-,15,22,1,2,19,14,5,2,-
1966,24,3,6,8,3,121,2,2,-,1,12,15,4,14,38,11,13,1,18,11,3,21,6,39,2,13,21,1,-,-,1,12,5,48,6,-,17,2,16,16,3,2,-,14,26,6,-,12,11,4,3,1
1966,25,10,-,3,1,128,4,5,3,-,12,6,-,2,12,8,9,-,11,3,3,19,9,27,6,4,25,-,-,-,1,20,4,53,7,1,23,4,13,36,1,2,-,9,25,5,-,4,5,9,5,3
1966,26,-,1,2,4,140,6,8,3,-,18,6,-,4,18,4,8,4,6,7,6,11,8,23,4,9,9,-,-,-,1,12,3,55,7,-,9,-,9,23,1,1,1,11,32,1,-,15,7,5,3,1
1966,27,7,1,5,1,119,1,5,1,1,6,-,-,2,5,9,7,4,13,7,3,9,5,30,5,6,6,1,-,-,-,13,3,32,3,-,19,1,13,14,1,-,-,15,21,1,-,3,12,2,4,-
1966,28,2,10,7,10,92,5,3,-,-,4,7,4,2,9,9,11,3,17,18,3,5,5,48,1,5,7,1,1,-,-,12,10,37,5,1,19,1,11,17,2,3,-,10,37,1,-,8,17,4,5,-
1966,29,2,-,5,7,164,-,6,1,1,27,7,1,2,11,9,7,2,7,13,3,22,9,34,5,10,29,-,1,-,1,16,3,37,4,-,26,1,13,14,3,3,-,26,31,1,-,-,18,4,3,1
1966,30,2,1,9,4,126,22,6,-,-,5,5,-,6,6,2,6,4,8,6,2,7,5,45,9,9,10,2,-,-,4,8,3,50,8,-,16,2,31,28,1,2,1,15,31,-,1,6,15,2,10,-
1966,31,1,-,11,8,108,8,10,-,-,15,12,2,-,7,3,12,2,5,8,6,6,17,30,2,6,33,4,3,-,1,11,6,46,12,-,8,4,23,27,5,1,-,14,23,7,-,12,26,3,6,1
1966,32,6,-,7,3,120,5,4,-,-,10,15,2,-,7,8,16,4,7,6,7,14,2,27,1,8,19,-,-,-,-,18,4,51,8,1,29,1,24,26,2,1,-,8,32,1,1,9,9,-,3,-
1966,33,5,3,8,4,119,2,14,1,-,11,7,1,1,50,7,11,-,9,18,3,14,2,66,5,7,11,2,-,-,-,9,8,34,8,-,27,1,24,23,3,1,1,17,38,3,-,7,17,5,2,1
1966,34,5,3,4,5,110,3,9,1,1,11,6,-,1,21,3,8,6,13,11,3,9,9,52,3,15,12,4,1,-,2,15,3,31,7,-,16,-,19,26,-,3,1,12,37,-,1,5,15,2,6,1
1966,35,4,-,7,7,98,5,7,2,1,7,8,-,1,16,11,3,-,9,7,3,14,12,34,7,6,3,-,-,-,1,10,1,39,8,-,19,-,28,40,2,-,-,14,34,6,-,6,11,1,4,1
1966,36,3,6,-,5,88,1,6,2,1,5,6,-,2,16,6,19,-,6,5,2,10,7,19,4,4,13,1,-,-,-,13,8,35,12,2,21,-,10,19,3,1,-,10,24,2,-,18,9,4,7,2
1966,37,5,3,16,3,112,11,3,-,1,7,5,2,1,21,10,5,2,10,3,6,17,6,41,12,10,4,-,1,-,-,11,7,35,4,-,11,1,40,25,2,1,-,10,32,6,-,14,11,2,4,2
1966,38,3,1,12,5,128,3,7,2,-,15,2,1,4,19,11,32,3,19,7,12,17,15,27,4,2,4,-,3,3,1,19,4,49,10,1,25,3,18,34,2,1,-,14,25,2,-,4,9,2,4,-
1966,39,8,-,6,8,131,4,9,3,-,7,4,-,10,26,4,3,-,11,4,3,14,3,35,6,5,22,2,-,-,-,26,2,50,4,-,26,-,36,29,4,4,-,8,35,2,1,17,7,7,3,-
1966,40,6,1,13,3,114,2,5,2,1,15,3,2,3,33,14,9,3,14,5,7,10,6,42,7,3,10,4,3,3,1,26,12,41,8,-,23,2,29,28,3,3,-,8,43,1,-,9,5,6,1,2
1966,41,7,3,5,8,112,3,4,-,-,10,11,-,1,19,6,9,3,13,4,5,9,10,52,11,2,12,2,-,-,1,15,21,42,5,4,26,-,20,31,3,-,2,20,38,3,-,6,4,3,8,-
1966,42,4,1,1,5,145,16,4,1,2,21,7,-,3,22,8,13,4,8,6,9,14,7,47,5,7,28,7,5,1,3,17,10,61,9,-,27,2,32,26,3,2,-,19,23,-,-,9,22,4,10,-
1966,43,10,5,10,7,121,4,12,-,2,10,32,1,7,28,6,3,4,19,12,5,26,16,46,4,1,31,3,-,-,-,32,11,74,11,3,22,3,17,31,-,4,1,8,30,4,-,5,24,6,9,2
1966,44,7,1,8,8,131,5,4,1,1,5,9,6,8,14,10,8,9,18,3,14,14,12,43,-,3,6,1,-,-,-,29,12,64,12,2,22,-,34,22,1,-,-,10,44,2,-,13,-,9,4,7
1966,45,5,-,11,3,133,1,13,-,2,9,7,-,10,21,9,7,-,14,4,7,15,9,34,3,3,30,1,1,-,2,19,9,38,8,2,24,2,24,28,1,4,-,10,41,1,1,8,-,4,6,-
1966,46,12,2,11,5,113,7,20,1,3,6,4,2,3,32,16,14,2,16,12,9,17,11,39,7,10,6,4,-,-,-,24,2,73,6,-,25,8,22,38,2,1,-,21,49,3,2,20,15,13,9,-
1966,47,5,-,7,2,114,5,10,1,3,4,101,2,10,9,11,10,2,10,4,11,16,15,55,1,7,16,3,-,-,1,33,20,47,6,-,18,3,37,21,11,-,-,11,16,3,-,9,8,4,10,2
1966,48,12,1,9,3,115,6,7,2,-,10,12,-,24,25,13,12,3,24,3,3,20,13,54,7,9,4,11,-,1,-,29,26,50,4,-,16,8,27,34,4,1,-,26,41,3,1,7,22,4,25,2
1966,49,4,1,10,3,115,5,11,4,2,10,26,-,2,24,2,1,2,13,14,10,16,25,39,9,4,30,4,1,-,1,24,19,59,5,8,31,5,21,19,1,3,-,26,44,10,-,14,17,5,33,-
