YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1938,1,22,-,19,22,390,10,49,8,17,2,9,-,32,104,23,32,104,90,-,131,55,180,99,66,-,48,67,16,-,6,215,19,349,328,25,42,14,10,206,36,65,19,29,140,20,50,118,134,72,121,14
1938,2,29,-,37,48,456,5,39,7,9,10,20,-,11,100,36,32,93,14,6,57,45,154,184,55,-,95,32,6,-,3,150,60,330,324,14,144,12,13,362,33,49,6,26,181,59,24,108,115,108,182,10
1938,3,33,-,15,64,423,7,42,7,3,14,51,-,40,124,17,42,122,92,3,68,62,107,220,37,-,112,31,10,-,10,160,32,389,326,63,69,40,21,344,43,47,26,31,193,29,26,93,138,128,142,8
1938,4,31,-,55,41,405,12,39,10,5,22,66,-,50,112,33,47,99,49,6,55,44,141,195,53,-,49,24,8,-,3,187,36,462,419,80,149,38,28,284,59,44,23,30,136,46,31,109,124,143,198,14
1938,5,14,-,37,27,261,13,67,21,9,55,59,-,19,93,18,42,113,71,2,71,64,111,132,33,-,108,31,8,-,4,144,35,472,281,31,115,33,30,411,34,57,14,46,269,83,18,97,122,99,129,25
1938,6,16,-,45,54,271,12,48,7,12,6,72,-,8,105,16,17,105,64,19,61,71,158,208,45,-,90,16,7,-,6,158,37,385,385,15,120,39,28,261,25,61,25,74,261,46,21,78,167,62,152,19
1938,7,21,-,19,144,293,8,45,8,9,9,33,-,14,76,27,34,138,98,20,52,64,104,187,39,-,52,19,10,-,2,200,17,505,343,19,87,29,43,361,37,68,26,18,214,30,25,99,141,59,102,17
1938,8,32,-,43,26,363,15,49,5,4,14,43,-,12,85,25,24,93,67,12,27,48,84,197,27,-,125,24,14,-,4,166,31,410,383,0,169,41,26,295,39,68,70,86,177,23,46,89,138,88,136,4
1938,9,24,-,40,52,403,8,46,6,9,-,11,-,9,121,22,35,155,134,12,89,86,117,177,30,-,39,28,19,-,16,177,36,472,417,24,116,41,7,285,29,96,17,64,304,28,42,76,124,70,141,19
1938,10,32,-,42,34,529,9,76,1,5,10,56,-,13,122,23,25,116,50,18,54,45,120,254,18,-,60,16,9,-,7,219,81,451,412,20,188,43,16,309,29,56,34,28,355,30,19,122,179,54,108,45
1938,11,31,-,20,23,523,13,61,10,11,7,104,-,28,94,38,23,136,37,20,69,70,145,228,27,-,57,60,6,-,-,163,51,404,473,29,82,64,28,223,22,56,19,53,312,38,42,80,188,53,140,3
1938,12,40,-,50,35,485,24,75,7,6,19,16,-,27,114,11,27,150,85,22,52,52,128,259,42,0,41,16,9,-,4,199,21,449,401,9,223,40,20,281,25,112,31,62,342,34,30,68,139,59,126,6
1938,13,8,-,37,49,477,27,49,6,14,28,35,-,14,83,30,28,122,74,23,32,94,97,228,29,-,43,22,12,-,7,229,31,393,564,35,142,47,17,231,36,80,18,27,414,47,17,149,153,49,180,18
1938,14,65,-,61,69,515,12,64,9,12,25,25,-,11,91,12,20,92,28,19,69,59,105,257,15,-,97,53,13,-,1,158,19,458,298,4,75,182,25,296,22,51,19,42,263,39,30,43,113,63,131,25
1938,15,60,-,69,25,446,35,46,12,7,2,76,-,18,96,28,27,92,47,9,57,44,86,253,27,-,22,37,4,-,6,88,20,418,415,21,235,90,11,305,0,55,16,36,303,27,8,122,128,65,192,6
1938,16,33,-,46,35,619,46,57,11,13,25,92,-,5,136,30,19,118,52,34,33,48,95,312,16,-,18,26,11,-,-,202,42,389,355,18,109,51,28,256,-,65,6,41,244,82,25,61,167,86,174,10
1938,17,62,-,65,43,643,47,69,11,13,24,28,-,10,126,28,28,183,139,1,40,61,120,336,44,-,20,34,17,-,-,211,15,535,437,18,287,99,18,165,11,107,20,42,327,60,36,81,196,50,255,23
1938,18,34,-,44,26,536,40,91,8,5,17,71,-,12,120,17,31,162,59,2,36,64,124,243,23,-,25,54,6,-,-,244,35,546,497,57,113,85,11,319,20,108,25,29,267,65,58,88,-,59,179,6
1938,19,57,-,24,34,366,40,155,15,11,32,106,-,10,132,6,28,149,49,44,28,70,134,296,12,-,34,82,13,-,1,189,19,519,388,29,240,36,20,162,32,90,27,25,270,60,35,80,145,84,187,7
1938,20,54,-,50,21,608,38,97,6,3,19,91,-,4,141,21,34,139,84,44,55,62,115,255,22,-,23,29,16,-,-,-,7,463,345,23,141,37,23,254,21,28,9,56,364,45,73,117,174,32,208,1
1938,21,44,-,41,66,356,28,143,9,9,33,70,-,7,169,8,37,148,87,2,68,57,86,295,31,-,5,50,14,-,-,177,19,452,315,17,212,21,27,157,14,62,11,59,297,60,57,51,133,168,209,1
1938,22,26,-,24,41,421,21,76,9,12,20,44,-,5,230,30,34,134,43,10,22,47,143,257,45,-,38,43,14,-,-,191,12,433,240,25,133,60,38,184,24,69,3,66,373,80,20,147,113,104,191,10
1938,23,75,-,17,39,423,32,123,3,7,11,44,-,4,232,17,37,131,99,37,29,46,104,336,28,-,19,59,14,-,1,197,6,531,329,14,104,78,32,232,26,73,11,60,384,51,17,68,89,76,197,3
1938,24,77,-,23,25,349,29,84,9,9,26,53,-,7,232,10,24,130,66,54,41,57,89,280,40,-,24,57,17,-,-,182,27,541,398,37,196,52,16,225,19,79,14,75,347,113,45,115,90,118,170,10
1938,25,90,-,308,45,226,68,192,126,38,29,74,-,41,186,19,22,317,60,66,124,115,102,338,66,-,43,139,3,-,-,254,154,339,435,59,89,78,146,134,78,150,13,62,227,381,132,145,135,146,287,70
