"YEAR","MONTH","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DISTRICT OF COLUMBIA","GEORGIA","HAWAII","ILLINOIS","INDIANA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEW HAMPSHIRE","NEW MEXICO","NEW YORK","OKLAHOMA","OREGON","PENNSYLVANIA","UTAH","VIRGINIA","WASHINGTON","WEST VIRGINIA","WYOMING","FLORIDA","NEBRASKA","NEVADA","NEW JERSEY","NORTH CAROLINA","NORTH DAKOTA","TENNESSEE","TEXAS","VERMONT","WISCONSIN","PALAU","ALABAMA","ALASKA","ARIZONA","DELAWARE","IOWA","RHODE ISLAND","SOUTH CAROLINA","SOUTH DAKOTA","IDAHO","OHIO"
1951,1,6,137,12,6,1,14,-,8,1,-,4,10,-,-,7,12,1,9,2,1,-,1,30,-,12,22,-,7,8,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,2,-,60,7,1,-,8,2,3,1,1,2,7,-,2,1,7,1,7,3,-,-,3,6,-,11,-,-,2,3,13,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,3,-,31,1,1,-,1,-,8,1,-,-,4,-,-,1,2,2,11,-,-,-,2,6,-,3,2,-,1,3,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,4,1,37,4,-,1,5,1,5,2,-,4,10,-,-,-,5,2,4,1,-,-,-,4,-,1,3,-,1,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,5,7,46,3,-,-,9,-,6,1,-,6,17,-,1,1,7,1,5,-,-,-,1,6,-,1,7,-,1,4,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,6,8,82,13,7,1,17,-,22,3,2,2,34,-,1,2,15,2,10,1,-,-,5,21,1,9,24,-,4,1,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,7,36,196,59,9,3,114,3,84,11,11,12,116,2,6,16,62,18,59,12,2,5,4,47,10,13,8,21,7,8,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,8,66,371,172,34,8,148,4,211,37,38,34,115,6,14,30,102,79,111,94,16,4,21,113,20,41,37,90,26,17,60,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,9,53,377,101,29,5,89,5,263,49,23,26,128,8,16,29,137,94,82,120,34,2,18,136,18,45,111,48,37,29,56,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,10,35,482,30,31,6,52,3,190,15,16,17,66,3,19,9,94,71,75,40,6,1,15,85,7,70,116,37,21,16,62,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,11,17,305,16,11,2,25,-,65,9,5,7,32,1,12,9,26,22,61,74,9,1,15,25,2,34,285,26,7,17,48,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,12,22,161,5,4,1,16,1,28,2,1,4,39,1,7,8,8,33,24,11,4,-,5,13,3,16,257,8,12,3,22,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1952,1,9,94,1,4,-,4,2,1,2,-,8,22,-,-,2,7,8,18,10,3,-,6,7,1,6,-,4,2,5,5,1,5,6,-,-,4,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
1952,2,3,50,-,1,-,5,7,1,-,-,1,15,1,3,-,-,3,13,13,-,-,3,6,-,5,-,-,4,2,5,3,-,3,-,2,1,1,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-
1952,3,2,40,-,-,1,1,15,3,-,-,2,14,-,1,1,1,1,7,12,-,-,3,3,-,3,-,-,3,6,4,1,-,2,-,2,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
1952,4,2,25,1,-,-,2,9,5,3,1,1,28,-,2,1,3,-,6,5,-,-,-,6,-,4,-,2,-,2,1,2,-,2,-,1,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-
1952,5,2,44,-,-,-,4,13,8,2,-,2,19,2,-,2,9,1,18,5,-,-,2,8,-,-,-,2,-,8,5,-,2,5,-,1,2,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-
1952,6,8,72,4,2,-,35,44,10,12,4,16,77,3,1,4,29,6,43,13,11,1,8,9,1,6,-,-,6,26,10,3,4,9,-,7,15,-,-,-,1,11,9,-,-,-,-,-,-,-,-,-,-
1952,7,27,185,27,16,2,81,33,176,37,12,222,164,4,13,20,286,57,106,61,7,6,60,58,8,37,-,2,23,87,64,1,11,170,1,77,33,1,9,-,2,115,20,-,-,-,-,-,-,-,-,-,-
1952,8,29,283,52,66,20,131,11,672,57,43,419,108,38,38,116,673,449,61,32,14,12,70,178,12,52,-,29,132,144,106,15,9,179,1,249,57,13,7,218,-,325,114,-,-,-,-,-,-,-,-,-,-
1952,9,42,451,76,37,5,68,5,949,64,44,352,83,27,59,92,573,855,42,55,21,18,71,238,14,77,-,55,99,195,98,20,12,207,1,240,45,27,7,145,-,367,130,-,-,-,-,-,-,-,-,-,-
1952,10,35,567,57,38,5,40,6,578,17,20,132,51,22,64,72,273,544,24,33,17,11,30,208,9,108,-,109,66,136,73,15,8,103,3,125,35,15,4,55,6,200,101,-,-,-,-,-,-,-,-,-,-
1952,11,6,490,17,13,1,9,7,154,14,1,38,17,21,11,17,77,175,9,15,8,3,19,87,8,29,-,56,27,62,23,14,3,33,2,39,7,9,2,30,4,32,28,-,-,-,-,-,-,-,-,-,-
1952,12,4,263,20,2,1,4,9,104,12,3,18,15,8,8,16,26,71,4,25,4,1,16,30,2,18,-,44,15,39,6,9,2,40,-,11,5,9,1,15,-,16,25,-,-,-,-,-,-,-,-,-,-
1953,1,-,179,1,4,-,2,1,14,9,-,7,7,2,1,5,16,10,3,10,6,-,3,36,-,3,-,31,3,15,4,1,2,1,-,-,2,1,-,9,-,-,2,1,14,4,-,-,-,-,3,-,-
1953,2,3,98,1,2,-,3,1,7,5,1,6,2,-,-,-,-,3,5,4,-,-,1,12,-,3,-,16,-,3,4,3,4,1,-,-,3,2,-,7,-,-,2,2,3,-,-,-,-,-,-,-,-
1953,3,2,45,3,4,-,3,3,6,5,1,6,5,-,-,4,2,2,-,2,1,-,-,4,1,5,-,3,3,6,3,-,3,-,2,-,3,-,3,18,-,1,1,-,-,-,-,-,-,1,2,-,-
1953,4,1,49,3,-,-,1,2,6,6,3,4,7,1,-,-,2,3,1,4,-,-,1,6,1,1,-,4,2,10,1,1,4,3,2,-,5,-,1,19,-,7,4,5,4,3,-,-,-,1,-,-,-
1953,5,7,51,4,3,1,4,4,9,8,2,5,8,5,3,5,7,17,2,13,1,-,-,14,4,8,-,9,8,4,4,2,7,2,-,2,14,-,-,57,-,3,2,15,-,6,-,4,-,1,2,-,-
1953,6,19,61,2,5,2,26,6,27,18,15,23,22,3,8,3,42,30,18,22,1,-,3,27,11,5,-,2,6,2,5,3,9,8,-,-,55,1,17,47,-,14,12,56,3,5,-,8,1,3,3,-,-
1953,7,32,206,15,17,4,43,3,167,54,28,42,55,22,38,37,182,144,5,58,17,10,7,173,43,11,-,29,80,13,46,5,20,31,-,59,96,4,54,75,3,62,33,39,20,23,-,19,8,26,14,-,-
1953,8,51,334,27,25,11,34,1,385,104,56,37,24,81,80,61,363,362,8,132,20,8,5,316,47,25,-,30,96,43,69,13,25,12,2,127,55,28,78,81,20,101,121,52,6,43,7,65,35,19,20,-,-
1953,9,44,453,25,35,4,36,-,334,68,16,25,36,74,90,109,248,355,6,127,29,7,9,406,14,58,-,30,64,46,75,7,46,18,1,112,36,21,31,71,23,120,164,33,4,27,5,25,75,12,10,-,-
1953,10,17,353,10,30,4,17,4,181,32,10,28,25,43,56,88,171,138,1,70,23,6,9,248,6,47,-,22,64,36,41,8,53,5,6,79,28,7,20,67,6,55,93,26,7,13,2,29,40,4,8,-,-
1953,11,13,257,2,20,1,6,4,57,11,2,16,14,10,14,53,65,67,2,23,11,2,5,125,7,40,-,12,30,19,11,5,13,2,1,15,14,2,12,38,6,15,35,4,5,7,2,16,22,6,1,-,-
1953,12,8,214,6,7,-,7,14,51,2,6,2,4,5,19,47,29,30,1,21,23,3,3,49,2,20,-,13,12,21,10,6,23,5,-,11,3,4,4,37,4,11,23,5,1,6,-,4,4,4,1,-,-
1954,1,5,88,1,3,1,7,12,4,4,2,3,3,2,1,7,27,3,4,7,7,1,2,32,1,7,13,11,2,14,2,2,13,2,-,3,4,1,8,28,1,2,-,5,7,-,-,1,-,3,2,2,8
1954,2,2,65,3,-,-,2,21,9,6,2,7,1,-,1,7,6,5,-,2,10,1,1,12,4,7,5,3,2,2,4,-,16,-,-,-,3,-,1,22,-,2,-,3,2,-,-,1,-,1,-,3,2
1954,3,10,62,1,1,-,2,23,5,6,1,1,10,-,1,5,3,1,-,-,5,-,2,11,2,3,3,1,4,4,2,-,8,3,-,-,-,-,1,29,-,1,-,1,5,1,-,1,-,-,-,-,1
1954,4,8,43,2,-,1,3,16,4,2,1,3,9,-,-,-,7,4,2,1,-,-,-,2,-,4,3,1,2,6,2,-,26,-,-,1,3,-,1,28,-,-,-,6,4,5,-,2,-,-,-,-,1
1954,5,15,87,2,-,1,13,12,6,4,2,9,14,-,1,4,16,1,8,5,1,-,1,5,10,4,3,3,1,6,6,-,24,3,-,2,1,-,6,70,-,2,-,11,4,8,-,4,-,6,-,2,6
1954,6,23,203,13,11,1,26,32,23,9,12,11,39,-,3,6,43,5,21,5,3,1,2,24,14,10,13,5,6,10,6,5,35,23,-,9,13,1,8,135,-,5,-,16,4,10,1,3,-,16,2,-,6
1954,7,42,351,19,22,4,44,7,124,55,32,71,69,4,9,18,160,26,34,38,4,1,15,82,37,17,51,12,40,22,11,26,71,64,-,40,68,2,51,272,2,6,-,34,29,10,5,68,-,34,4,4,53
1954,8,36,684,44,28,13,79,7,345,104,33,96,45,17,23,88,300,100,29,80,11,8,16,215,29,24,155,39,97,55,51,34,68,89,-,105,94,9,63,199,5,32,-,43,32,8,9,128,5,18,8,11,167
1954,9,46,471,60,42,14,59,9,429,141,53,155,57,21,48,117,267,113,7,105,26,5,21,338,17,55,146,54,101,86,76,41,80,96,-,137,61,6,69,184,7,71,-,34,27,14,10,173,20,26,13,22,206
1954,10,31,297,24,48,9,33,2,263,86,25,87,33,34,45,79,160,49,10,82,13,5,8,370,7,39,95,50,94,60,46,28,372,30,-,149,32,2,35,161,12,53,-,17,25,5,21,107,15,28,12,10,120
1954,11,24,218,11,43,5,9,2,99,25,10,29,30,9,15,44,60,17,2,22,13,1,7,252,2,36,36,32,34,25,10,14,65,4,-,75,11,-,21,52,4,25,-,8,45,4,10,28,5,9,3,5,53
1954,12,11,116,6,10,2,5,1,43,4,-,24,9,2,6,20,11,13,6,6,9,-,4,123,2,21,9,15,13,14,3,5,25,5,-,29,7,2,5,30,15,9,-,1,5,-,3,9,-,5,-,2,19
1955,1,3,47,4,2,-,4,-,5,2,2,5,5,-,1,1,6,2,3,4,2,1,-,16,3,7,3,5,1,11,2,2,41,2,1,5,4,-,3,28,5,1,5,2,2,-,1,3,-,-,-,-,2
1955,2,1,28,2,1,-,2,2,7,2,-,5,8,1,1,-,3,3,2,3,2,-,1,4,-,3,2,2,2,1,1,1,8,-,1,-,-,-,-,14,-,-,4,2,-,1,-,-,-,-,1,-,-
1955,3,5,21,1,-,-,1,2,10,3,2,1,14,-,1,1,3,4,-,1,-,-,-,4,-,7,1,-,-,3,2,1,11,-,-,1,3,-,2,15,1,-,5,1,4,1,1,-,-,1,-,-,2
1955,4,4,28,2,-,-,9,1,10,3,4,2,15,2,1,2,5,5,2,2,2,-,-,6,-,9,-,3,-,2,3,-,12,1,-,3,3,-,1,36,-,1,5,1,1,3,1,2,-,4,3,10,5
1955,5,3,81,10,-,2,12,6,22,4,3,12,31,-,9,2,10,5,4,4,3,-,4,13,2,11,5,1,5,9,6,2,3,4,8,5,5,-,2,42,-,4,11,3,-,3,8,6,2,5,3,29,10
1955,6,13,93,9,1,2,10,10,18,3,5,8,28,1,14,6,18,7,3,5,-,-,2,35,-,12,10,2,7,12,3,1,17,3,6,10,12,4,6,93,2,10,23,14,1,2,4,2,1,10,2,20,12
1955,7,17,93,10,16,3,19,15,73,32,23,43,31,6,13,295,68,28,13,13,2,19,11,43,15,27,26,2,26,21,4,3,5,24,10,20,26,5,24,145,2,110,25,17,-,3,4,19,6,22,6,22,31
1955,8,29,150,27,72,6,36,9,224,53,23,61,31,34,48,1180,121,71,16,32,16,50,11,214,14,29,72,2,37,54,23,2,17,32,2,84,49,9,23,127,21,314,103,14,12,11,8,31,58,39,7,28,173
1955,9,12,170,21,64,7,32,17,180,41,24,32,27,23,28,711,87,72,5,27,31,23,13,268,6,74,66,8,34,94,32,2,21,23,7,87,34,5,32,107,14,275,108,10,7,19,1,24,54,40,6,20,133
1955,10,13,153,7,31,4,18,29,69,25,8,13,31,29,33,368,39,33,4,23,20,12,7,147,10,46,15,6,25,73,12,1,7,10,5,48,24,4,17,129,4,157,47,11,8,11,2,17,45,24,1,6,66
1955,11,4,183,14,13,1,15,27,29,17,4,3,12,18,16,157,12,15,7,16,7,4,8,88,6,52,8,2,7,67,7,1,8,8,4,15,10,1,6,47,5,50,37,3,2,4,1,8,35,7,2,9,19
1955,12,2,97,4,3,1,9,17,10,-,2,2,9,6,4,48,11,14,3,12,4,2,4,27,2,28,2,2,7,31,4,1,5,2,5,4,9,-,4,33,2,52,15,2,-,3,1,2,1,2,-,6,2
1956,1,4,100,1,-,-,3,14,5,1,-,1,13,5,1,6,4,-,5,3,3,-,-,17,1,3,2,1,-,10,-,-,2,-,4,1,1,-,1,29,2,1,1,-,-,14,-,3,2,2,1,2,4
1956,2,4,86,2,-,-,-,8,1,3,-,2,7,1,-,5,4,1,2,2,-,1,1,9,-,5,2,2,1,5,2,1,2,-,-,4,1,-,2,20,2,-,2,-,-,3,-,-,-,2,-,1,1
1956,3,-,57,1,-,-,2,6,5,1,-,4,10,1,-,-,3,-,3,4,-,-,-,7,2,3,1,1,1,2,1,-,10,1,-,1,3,1,4,42,-,5,-,-,-,4,-,-,-,1,-,4,3
1956,4,1,56,2,1,-,2,1,5,1,-,2,21,1,-,1,4,2,4,1,2,-,-,7,2,6,2,-,-,-,2,1,3,-,-,2,1,-,2,38,-,4,2,1,1,-,-,1,-,-,-,-,-
1956,5,2,75,1,3,-,-,4,20,3,-,2,33,-,1,2,4,1,4,2,-,-,1,7,2,3,3,-,-,2,2,-,5,4,-,2,2,-,4,38,-,4,2,2,1,2,-,2,-,1,1,2,2
1956,6,3,111,4,-,-,8,-,40,6,-,2,64,1,6,3,11,4,12,10,2,-,-,14,5,5,3,4,7,5,1,1,19,3,-,5,10,1,1,101,1,8,5,3,-,5,-,2,-,3,-,6,5
1956,7,12,176,4,2,-,16,4,362,47,-,10,91,-,7,5,43,3,27,28,3,-,3,20,24,6,9,22,14,10,6,2,15,2,2,11,46,-,6,110,3,23,11,3,2,12,2,7,-,4,-,11,34
1956,8,51,228,21,6,2,22,5,496,74,-,13,104,1,17,9,102,25,49,44,2,2,6,57,26,15,27,46,30,22,20,3,19,12,3,25,44,3,26,94,1,62,16,10,2,12,3,7,-,10,2,17,104
1956,9,22,208,21,11,3,23,1,152,56,-,20,40,2,24,5,76,16,32,62,2,-,13,82,14,10,25,28,52,24,15,5,17,12,3,29,43,4,15,85,2,90,16,7,1,6,2,11,-,7,2,10,96
1956,10,18,170,17,2,1,9,1,39,24,-,11,13,2,20,7,31,11,21,19,10,-,6,56,1,14,15,15,23,10,5,3,7,13,1,6,18,1,10,54,1,38,8,17,-,2,3,3,-,5,2,4,33
1956,11,20,64,10,3,1,9,-,14,10,-,11,10,-,9,4,13,12,17,9,7,-,3,26,11,5,8,22,12,3,3,-,3,4,-,5,7,3,22,62,-,16,6,11,-,5,-,7,-,3,-,4,23
1956,12,9,25,3,2,-,7,1,9,8,-,6,8,-,5,1,13,3,8,7,7,-,4,8,5,3,3,4,11,5,3,2,1,7,-,-,3,-,10,63,-,12,5,8,-,-,1,2,-,8,-,2,8
1957,1,1,29,1,2,-,5,1,5,2,1,1,3,-,-,-,5,1,2,4,1,-,1,4,2,1,1,5,1,2,-,-,6,3,-,1,5,-,3,18,-,2,1,7,1,1,-,-,-,9,-,-,3
