YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1966,1,7,-,29,-,7,-,11,-,-,-,-,1,1,17,21,6,-,14,-,4,6,10,25,2,-,1,11,-,-,9,-,-,-,-,7,-,-,22,1,6,4,-,23,-,-,2,3,70,23,40,1
1966,2,1,-,53,-,43,2,30,-,-,-,-,4,3,81,57,34,-,17,-,8,5,20,53,7,-,2,35,-,-,-,-,-,167,-,7,-,-,33,-,3,-,-,40,-,2,-,5,88,8,122,-
1966,3,1,-,35,-,74,16,39,1,-,16,-,5,-,46,31,17,-,42,-,7,1,20,28,3,-,-,4,-,-,1,-,-,54,-,8,-,-,40,2,19,6,-,45,-,2,27,10,79,14,130,1
1966,4,-,-,37,-,73,11,50,4,-,21,-,1,1,39,15,32,-,33,-,11,10,20,44,8,-,-,9,-,-,2,-,-,41,-,4,-,-,30,1,3,-,-,76,1,6,31,5,89,29,132,-
1966,5,-,8,162,-,46,9,72,-,-,17,-,2,-,39,47,51,-,15,-,5,5,102,38,-,-,-,15,-,-,-,-,-,43,-,10,-,-,44,-,13,1,-,55,-,-,1,14,150,40,149,1
1966,6,1,5,127,1,104,13,44,3,-,11,-,9,56,24,31,56,-,142,-,2,6,93,117,8,-,-,3,-,-,5,-,-,76,-,8,29,-,28,-,9,1,-,47,-,2,7,3,108,17,141,-
1966,7,1,1,101,-,74,16,44,2,-,7,-,2,8,104,124,43,-,132,-,10,19,53,91,1,-,-,1,-,-,1,-,-,66,-,4,36,-,37,-,3,10,-,84,6,4,5,12,153,63,128,-
1966,8,3,1,83,-,67,22,40,1,-,25,-,-,8,87,54,52,-,95,-,9,1,13,64,5,-,3,4,-,-,-,-,-,57,-,8,37,-,34,-,1,4,-,39,-,2,2,33,93,37,193,-
1966,9,3,2,114,-,124,15,99,1,-,43,-,6,-,81,71,52,-,17,-,3,17,43,161,6,-,-,6,-,-,7,-,-,68,-,1,44,-,26,-,-,18,-,61,-,5,5,13,186,11,176,-
1966,10,7,3,161,-,133,19,84,2,-,42,-,2,12,141,87,39,-,71,-,12,5,26,128,3,-,-,9,-,-,14,-,-,85,-,1,41,-,42,3,4,18,-,65,2,6,3,62,112,96,187,-
1966,11,-,2,150,-,115,19,110,6,-,32,-,4,5,183,89,105,-,185,-,6,35,74,53,16,-,-,5,-,-,16,-,-,104,-,5,22,-,24,3,3,21,-,82,1,1,-,55,109,31,236,3
1966,12,4,2,135,-,203,35,87,2,-,116,-,5,11,107,89,68,-,48,-,3,36,57,124,-,-,2,151,-,-,-,-,-,149,-,3,65,-,38,6,4,42,-,77,18,3,4,98,105,34,244,-
1966,13,5,5,82,-,131,15,107,3,-,60,-,8,16,91,74,44,-,55,-,11,9,92,84,2,-,1,-,-,-,-,-,-,141,-,6,42,-,39,2,10,31,-,79,2,4,5,35,84,32,221,-
1966,14,5,6,118,1,148,13,53,-,2,24,-,-,-,110,82,121,-,24,-,18,15,75,104,6,-,4,14,3,-,2,-,-,126,-,1,40,-,48,2,44,14,-,65,7,1,3,15,77,23,339,-
1966,15,7,4,130,-,119,40,102,-,-,65,-,3,2,96,155,73,-,21,-,-,12,81,146,-,-,1,6,-,-,4,-,-,122,-,7,147,-,31,14,21,11,-,109,12,-,3,21,140,16,164,-
1966,16,6,12,91,-,141,17,115,-,-,88,-,6,3,79,166,113,-,230,-,5,7,123,94,12,-,-,11,-,-,2,-,-,85,-,1,33,-,20,2,7,5,-,120,15,4,5,23,85,16,-,50
1966,17,1,2,75,-,166,38,61,-,1,57,-,7,-,82,152,111,-,48,-,24,20,73,100,1,-,1,7,-,-,-,-,-,73,-,3,192,-,30,1,10,19,-,146,6,1,-,55,126,79,183,50
1966,18,6,10,147,1,80,34,43,2,1,104,-,5,-,77,89,234,-,52,-,7,4,104,82,-,-,1,10,-,-,3,-,-,91,-,3,23,-,49,4,6,6,-,172,3,2,1,43,83,16,182,-
1966,19,16,1,79,-,107,37,135,9,1,104,-,2,2,197,61,133,-,-,-,12,23,96,135,-,-,1,-,-,-,-,-,-,78,-,7,50,-,35,7,20,15,-,165,7,7,1,92,81,22,-,2
1966,20,6,2,105,-,126,34,85,-,-,66,-,7,1,135,117,116,-,19,-,16,18,101,129,8,-,4,12,-,-,7,-,-,99,-,9,30,-,38,2,14,5,-,183,13,4,6,39,56,42,166,125
1966,21,2,1,50,-,111,15,99,4,-,38,-,-,6,102,170,66,-,195,-,6,26,150,238,-,-,4,1,-,-,2,-,-,96,-,5,67,-,17,10,3,7,-,134,12,3,3,58,112,48,192,1
