YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1928,1,1,-,0,7,18,31,26,0,-,1,0,-,4,30,133,58,73,16,10,0,0,0,17,2,1,38,36,12,-,-,3,1,4,63,-,19,108,32,1,0,19,6,5,29,19,0,-,31,11,27,5
1928,2,4,-,0,9,22,18,53,0,-,10,0,-,11,25,125,-,125,27,11,0,0,0,49,3,7,51,27,44,-,-,0,0,18,106,6,-,201,49,0,0,33,7,28,78,33,0,-,70,17,27,18
1928,3,8,-,0,14,30,23,20,0,-,7,-,-,3,27,120,-,74,28,20,0,0,3,58,2,15,51,32,37,-,-,0,1,9,175,5,17,142,46,0,0,15,10,21,23,17,0,-,51,26,29,2
1928,4,11,-,8,18,27,18,15,0,0,1,0,-,13,38,93,75,106,41,17,0,1,0,26,2,22,42,20,68,-,0,1,1,5,117,2,21,150,51,0,0,10,1,35,41,19,0,-,46,37,35,4
1928,5,1,-,3,6,39,24,6,0,0,3,0,-,6,30,140,74,119,52,14,0,0,0,39,5,7,37,44,40,-,0,0,0,11,129,0,42,233,48,0,0,4,44,24,96,18,0,-,40,13,35,6
1928,6,10,-,16,10,20,14,6,0,0,10,0,-,-,42,101,66,109,13,23,0,0,0,32,1,11,62,27,53,-,0,1,0,16,142,3,27,135,44,0,0,15,9,10,120,4,0,0,70,41,14,2
1928,7,4,-,28,0,18,9,1,0,0,2,0,-,6,77,116,98,78,16,33,0,0,0,42,3,0,25,27,22,-,0,0,1,4,93,7,23,94,59,1,0,12,9,33,62,22,0,-,26,102,58,0
1928,8,7,-,26,7,32,12,2,0,-,4,0,-,2,53,114,77,105,30,22,0,0,0,37,0,4,53,12,17,-,-,0,2,10,113,4,31,190,30,0,0,4,3,34,12,23,0,-,82,54,21,3
1928,9,26,-,67,8,32,20,3,0,0,12,0,-,4,40,126,63,49,11,22,0,0,0,22,4,10,35,18,64,-,0,0,1,13,119,1,33,94,58,0,0,7,0,34,92,13,0,0,46,9,33,5
1928,10,12,-,25,7,19,12,4,0,-,7,15,-,0,47,79,68,70,32,32,0,4,0,37,1,4,53,-,51,-,0,0,2,13,93,0,24,181,64,0,0,14,10,26,65,13,0,-,79,76,42,15
