YEAR,MONTH,COUNT,STATE NAME,DISEASE
1951,1,6,Arkansas,"Polio, paralytic"
1951,4,1,Arkansas,"Polio, paralytic"
1951,5,7,Arkansas,"Polio, paralytic"
1951,6,8,Arkansas,"Polio, paralytic"
1951,7,36,Arkansas,"Polio, paralytic"
1951,8,66,Arkansas,"Polio, paralytic"
1951,9,53,Arkansas,"Polio, paralytic"
1951,10,35,Arkansas,"Polio, paralytic"
1951,11,17,Arkansas,"Polio, paralytic"
1951,12,22,Arkansas,"Polio, paralytic"
1951,1,137,California,"Polio, paralytic"
1951,2,60,California,"Polio, paralytic"
1951,3,31,California,"Polio, paralytic"
1951,4,37,California,"Polio, paralytic"
1951,5,46,California,"Polio, paralytic"
1951,6,82,California,"Polio, paralytic"
1951,7,196,California,"Polio, paralytic"
1951,8,371,California,"Polio, paralytic"
1951,9,377,California,"Polio, paralytic"
1951,10,482,California,"Polio, paralytic"
1951,11,305,California,"Polio, paralytic"
1951,12,161,California,"Polio, paralytic"
1951,1,12,Colorado,"Polio, paralytic"
1951,2,7,Colorado,"Polio, paralytic"
1951,3,1,Colorado,"Polio, paralytic"
1951,4,4,Colorado,"Polio, paralytic"
1951,5,3,Colorado,"Polio, paralytic"
1951,6,13,Colorado,"Polio, paralytic"
1951,7,59,Colorado,"Polio, paralytic"
1951,8,172,Colorado,"Polio, paralytic"
1951,9,101,Colorado,"Polio, paralytic"
1951,10,30,Colorado,"Polio, paralytic"
1951,11,16,Colorado,"Polio, paralytic"
1951,12,5,Colorado,"Polio, paralytic"
1951,1,6,Connecticut,"Polio, paralytic"
1951,2,1,Connecticut,"Polio, paralytic"
1951,3,1,Connecticut,"Polio, paralytic"
1951,6,7,Connecticut,"Polio, paralytic"
1951,7,9,Connecticut,"Polio, paralytic"
1951,8,34,Connecticut,"Polio, paralytic"
1951,9,29,Connecticut,"Polio, paralytic"
1951,10,31,Connecticut,"Polio, paralytic"
1951,11,11,Connecticut,"Polio, paralytic"
1951,12,4,Connecticut,"Polio, paralytic"
1951,1,1,District of Columbia,"Polio, paralytic"
1951,4,1,District of Columbia,"Polio, paralytic"
1951,6,1,District of Columbia,"Polio, paralytic"
1951,7,3,District of Columbia,"Polio, paralytic"
1951,8,8,District of Columbia,"Polio, paralytic"
1951,9,5,District of Columbia,"Polio, paralytic"
1951,10,6,District of Columbia,"Polio, paralytic"
1951,11,2,District of Columbia,"Polio, paralytic"
1951,12,1,District of Columbia,"Polio, paralytic"
1951,1,14,Georgia,"Polio, paralytic"
1951,2,8,Georgia,"Polio, paralytic"
1951,3,1,Georgia,"Polio, paralytic"
1951,4,5,Georgia,"Polio, paralytic"
1951,5,9,Georgia,"Polio, paralytic"
1951,6,17,Georgia,"Polio, paralytic"
1951,7,114,Georgia,"Polio, paralytic"
1951,8,148,Georgia,"Polio, paralytic"
1951,9,89,Georgia,"Polio, paralytic"
1951,10,52,Georgia,"Polio, paralytic"
1951,11,25,Georgia,"Polio, paralytic"
1951,12,16,Georgia,"Polio, paralytic"
1951,2,2,Hawaii,"Polio, paralytic"
1951,4,1,Hawaii,"Polio, paralytic"
1951,7,3,Hawaii,"Polio, paralytic"
1951,8,4,Hawaii,"Polio, paralytic"
1951,9,5,Hawaii,"Polio, paralytic"
1951,10,3,Hawaii,"Polio, paralytic"
1951,12,1,Hawaii,"Polio, paralytic"
1951,1,8,Illinois,"Polio, paralytic"
1951,2,3,Illinois,"Polio, paralytic"
1951,3,8,Illinois,"Polio, paralytic"
1951,4,5,Illinois,"Polio, paralytic"
1951,5,6,Illinois,"Polio, paralytic"
1951,6,22,Illinois,"Polio, paralytic"
1951,7,84,Illinois,"Polio, paralytic"
1951,8,211,Illinois,"Polio, paralytic"
1951,9,263,Illinois,"Polio, paralytic"
1951,10,190,Illinois,"Polio, paralytic"
1951,11,65,Illinois,"Polio, paralytic"
1951,12,28,Illinois,"Polio, paralytic"
1951,1,1,Indiana,"Polio, paralytic"
1951,2,1,Indiana,"Polio, paralytic"
1951,3,1,Indiana,"Polio, paralytic"
1951,4,2,Indiana,"Polio, paralytic"
1951,5,1,Indiana,"Polio, paralytic"
1951,6,3,Indiana,"Polio, paralytic"
1951,7,11,Indiana,"Polio, paralytic"
1951,8,37,Indiana,"Polio, paralytic"
1951,9,49,Indiana,"Polio, paralytic"
1951,10,15,Indiana,"Polio, paralytic"
1951,11,9,Indiana,"Polio, paralytic"
1951,12,2,Indiana,"Polio, paralytic"
1951,2,1,Kansas,"Polio, paralytic"
1951,6,2,Kansas,"Polio, paralytic"
1951,7,11,Kansas,"Polio, paralytic"
1951,8,38,Kansas,"Polio, paralytic"
1951,9,23,Kansas,"Polio, paralytic"
1951,10,16,Kansas,"Polio, paralytic"
1951,11,5,Kansas,"Polio, paralytic"
1951,12,1,Kansas,"Polio, paralytic"
1951,1,4,Kentucky,"Polio, paralytic"
1951,2,2,Kentucky,"Polio, paralytic"
1951,4,4,Kentucky,"Polio, paralytic"
1951,5,6,Kentucky,"Polio, paralytic"
1951,6,2,Kentucky,"Polio, paralytic"
1951,7,12,Kentucky,"Polio, paralytic"
1951,8,34,Kentucky,"Polio, paralytic"
1951,9,26,Kentucky,"Polio, paralytic"
1951,10,17,Kentucky,"Polio, paralytic"
1951,11,7,Kentucky,"Polio, paralytic"
1951,12,4,Kentucky,"Polio, paralytic"
1951,1,10,Louisiana,"Polio, paralytic"
1951,2,7,Louisiana,"Polio, paralytic"
1951,3,4,Louisiana,"Polio, paralytic"
1951,4,10,Louisiana,"Polio, paralytic"
1951,5,17,Louisiana,"Polio, paralytic"
1951,6,34,Louisiana,"Polio, paralytic"
1951,7,116,Louisiana,"Polio, paralytic"
1951,8,115,Louisiana,"Polio, paralytic"
1951,9,128,Louisiana,"Polio, paralytic"
1951,10,66,Louisiana,"Polio, paralytic"
1951,11,32,Louisiana,"Polio, paralytic"
1951,12,39,Louisiana,"Polio, paralytic"
1951,7,2,Maine,"Polio, paralytic"
1951,8,6,Maine,"Polio, paralytic"
1951,9,8,Maine,"Polio, paralytic"
1951,10,3,Maine,"Polio, paralytic"
1951,11,1,Maine,"Polio, paralytic"
1951,12,1,Maine,"Polio, paralytic"
1951,2,2,Maryland,"Polio, paralytic"
1951,5,1,Maryland,"Polio, paralytic"
1951,6,1,Maryland,"Polio, paralytic"
1951,7,6,Maryland,"Polio, paralytic"
1951,8,14,Maryland,"Polio, paralytic"
1951,9,16,Maryland,"Polio, paralytic"
1951,10,19,Maryland,"Polio, paralytic"
1951,11,12,Maryland,"Polio, paralytic"
1951,12,7,Maryland,"Polio, paralytic"
1951,1,7,Massachusetts,"Polio, paralytic"
1951,2,1,Massachusetts,"Polio, paralytic"
1951,3,1,Massachusetts,"Polio, paralytic"
1951,5,1,Massachusetts,"Polio, paralytic"
1951,6,2,Massachusetts,"Polio, paralytic"
1951,7,16,Massachusetts,"Polio, paralytic"
1951,8,30,Massachusetts,"Polio, paralytic"
1951,9,29,Massachusetts,"Polio, paralytic"
1951,10,9,Massachusetts,"Polio, paralytic"
1951,11,9,Massachusetts,"Polio, paralytic"
1951,12,8,Massachusetts,"Polio, paralytic"
1951,1,12,Michigan,"Polio, paralytic"
1951,2,7,Michigan,"Polio, paralytic"
1951,3,2,Michigan,"Polio, paralytic"
1951,4,5,Michigan,"Polio, paralytic"
1951,5,7,Michigan,"Polio, paralytic"
1951,6,15,Michigan,"Polio, paralytic"
1951,7,62,Michigan,"Polio, paralytic"
1951,8,102,Michigan,"Polio, paralytic"
1951,9,137,Michigan,"Polio, paralytic"
1951,10,94,Michigan,"Polio, paralytic"
1951,11,26,Michigan,"Polio, paralytic"
1951,12,8,Michigan,"Polio, paralytic"
1951,1,1,Minnesota,"Polio, paralytic"
1951,2,1,Minnesota,"Polio, paralytic"
1951,3,2,Minnesota,"Polio, paralytic"
1951,4,2,Minnesota,"Polio, paralytic"
1951,5,1,Minnesota,"Polio, paralytic"
1951,6,2,Minnesota,"Polio, paralytic"
1951,7,18,Minnesota,"Polio, paralytic"
1951,8,79,Minnesota,"Polio, paralytic"
1951,9,94,Minnesota,"Polio, paralytic"
1951,10,71,Minnesota,"Polio, paralytic"
1951,11,22,Minnesota,"Polio, paralytic"
1951,12,33,Minnesota,"Polio, paralytic"
1951,1,9,Mississippi,"Polio, paralytic"
1951,2,7,Mississippi,"Polio, paralytic"
1951,3,11,Mississippi,"Polio, paralytic"
1951,4,4,Mississippi,"Polio, paralytic"
1951,5,5,Mississippi,"Polio, paralytic"
1951,6,10,Mississippi,"Polio, paralytic"
1951,7,59,Mississippi,"Polio, paralytic"
1951,8,111,Mississippi,"Polio, paralytic"
1951,9,82,Mississippi,"Polio, paralytic"
1951,10,75,Mississippi,"Polio, paralytic"
1951,11,61,Mississippi,"Polio, paralytic"
1951,12,24,Mississippi,"Polio, paralytic"
1951,1,2,Missouri,"Polio, paralytic"
1951,2,3,Missouri,"Polio, paralytic"
1951,4,1,Missouri,"Polio, paralytic"
1951,6,1,Missouri,"Polio, paralytic"
1951,7,12,Missouri,"Polio, paralytic"
1951,8,94,Missouri,"Polio, paralytic"
1951,9,120,Missouri,"Polio, paralytic"
1951,10,40,Missouri,"Polio, paralytic"
1951,11,74,Missouri,"Polio, paralytic"
1951,12,11,Missouri,"Polio, paralytic"
1951,1,1,Montana,"Polio, paralytic"
1951,7,2,Montana,"Polio, paralytic"
1951,8,16,Montana,"Polio, paralytic"
1951,9,34,Montana,"Polio, paralytic"
1951,10,6,Montana,"Polio, paralytic"
1951,11,9,Montana,"Polio, paralytic"
1951,12,4,Montana,"Polio, paralytic"
1951,7,5,New Hampshire,"Polio, paralytic"
1951,8,4,New Hampshire,"Polio, paralytic"
1951,9,2,New Hampshire,"Polio, paralytic"
1951,10,1,New Hampshire,"Polio, paralytic"
1951,11,1,New Hampshire,"Polio, paralytic"
1951,1,1,New Mexico,"Polio, paralytic"
1951,2,3,New Mexico,"Polio, paralytic"
1951,3,2,New Mexico,"Polio, paralytic"
1951,5,1,New Mexico,"Polio, paralytic"
1951,6,5,New Mexico,"Polio, paralytic"
1951,7,4,New Mexico,"Polio, paralytic"
1951,8,21,New Mexico,"Polio, paralytic"
1951,9,18,New Mexico,"Polio, paralytic"
1951,10,15,New Mexico,"Polio, paralytic"
1951,11,15,New Mexico,"Polio, paralytic"
1951,12,5,New Mexico,"Polio, paralytic"
1951,1,30,New York,"Polio, paralytic"
1951,2,6,New York,"Polio, paralytic"
1951,3,6,New York,"Polio, paralytic"
1951,4,4,New York,"Polio, paralytic"
1951,5,6,New York,"Polio, paralytic"
1951,6,21,New York,"Polio, paralytic"
1951,7,47,New York,"Polio, paralytic"
1951,8,113,New York,"Polio, paralytic"
1951,9,136,New York,"Polio, paralytic"
1951,10,85,New York,"Polio, paralytic"
1951,11,25,New York,"Polio, paralytic"
1951,12,13,New York,"Polio, paralytic"
1951,6,1,Oklahoma,"Polio, paralytic"
1951,7,10,Oklahoma,"Polio, paralytic"
1951,8,20,Oklahoma,"Polio, paralytic"
1951,9,18,Oklahoma,"Polio, paralytic"
1951,10,7,Oklahoma,"Polio, paralytic"
1951,11,2,Oklahoma,"Polio, paralytic"
1951,12,3,Oklahoma,"Polio, paralytic"
1951,1,12,Oregon,"Polio, paralytic"
1951,2,11,Oregon,"Polio, paralytic"
1951,3,3,Oregon,"Polio, paralytic"
1951,4,1,Oregon,"Polio, paralytic"
1951,5,1,Oregon,"Polio, paralytic"
1951,6,9,Oregon,"Polio, paralytic"
1951,7,13,Oregon,"Polio, paralytic"
1951,8,41,Oregon,"Polio, paralytic"
1951,9,45,Oregon,"Polio, paralytic"
1951,10,70,Oregon,"Polio, paralytic"
1951,11,34,Oregon,"Polio, paralytic"
1951,12,16,Oregon,"Polio, paralytic"
1951,1,22,Pennsylvania,"Polio, paralytic"
1951,3,2,Pennsylvania,"Polio, paralytic"
1951,4,3,Pennsylvania,"Polio, paralytic"
1951,5,7,Pennsylvania,"Polio, paralytic"
1951,6,24,Pennsylvania,"Polio, paralytic"
1951,7,8,Pennsylvania,"Polio, paralytic"
1951,8,37,Pennsylvania,"Polio, paralytic"
1951,9,111,Pennsylvania,"Polio, paralytic"
1951,10,116,Pennsylvania,"Polio, paralytic"
1951,11,285,Pennsylvania,"Polio, paralytic"
1951,12,257,Pennsylvania,"Polio, paralytic"
1951,7,21,Utah,"Polio, paralytic"
1951,8,90,Utah,"Polio, paralytic"
1951,9,48,Utah,"Polio, paralytic"
1951,10,37,Utah,"Polio, paralytic"
1951,11,26,Utah,"Polio, paralytic"
1951,12,8,Utah,"Polio, paralytic"
1951,1,7,Virginia,"Polio, paralytic"
1951,2,2,Virginia,"Polio, paralytic"
1951,3,1,Virginia,"Polio, paralytic"
1951,4,1,Virginia,"Polio, paralytic"
1951,5,1,Virginia,"Polio, paralytic"
1951,6,4,Virginia,"Polio, paralytic"
1951,7,7,Virginia,"Polio, paralytic"
1951,8,26,Virginia,"Polio, paralytic"
1951,9,37,Virginia,"Polio, paralytic"
1951,10,21,Virginia,"Polio, paralytic"
1951,11,7,Virginia,"Polio, paralytic"
1951,12,12,Virginia,"Polio, paralytic"
1951,1,8,Washington,"Polio, paralytic"
1951,2,3,Washington,"Polio, paralytic"
1951,3,3,Washington,"Polio, paralytic"
1951,5,4,Washington,"Polio, paralytic"
1951,6,1,Washington,"Polio, paralytic"
1951,7,8,Washington,"Polio, paralytic"
1951,8,17,Washington,"Polio, paralytic"
1951,9,29,Washington,"Polio, paralytic"
1951,10,16,Washington,"Polio, paralytic"
1951,11,17,Washington,"Polio, paralytic"
1951,12,3,Washington,"Polio, paralytic"
1951,1,6,West Virginia,"Polio, paralytic"
1951,2,13,West Virginia,"Polio, paralytic"
1951,3,4,West Virginia,"Polio, paralytic"
1951,4,6,West Virginia,"Polio, paralytic"
1951,5,8,West Virginia,"Polio, paralytic"
1951,6,5,West Virginia,"Polio, paralytic"
1951,7,9,West Virginia,"Polio, paralytic"
1951,8,60,West Virginia,"Polio, paralytic"
1951,9,56,West Virginia,"Polio, paralytic"
1951,10,62,West Virginia,"Polio, paralytic"
1951,11,48,West Virginia,"Polio, paralytic"
1951,12,22,West Virginia,"Polio, paralytic"
1951,1,1,Wyoming,"Polio, paralytic"
1951,2,2,Wyoming,"Polio, paralytic"
1951,3,1,Wyoming,"Polio, paralytic"
1951,4,1,Wyoming,"Polio, paralytic"
1951,5,1,Wyoming,"Polio, paralytic"
1951,6,1,Wyoming,"Polio, paralytic"
1951,7,12,Wyoming,"Polio, paralytic"
1951,8,22,Wyoming,"Polio, paralytic"
1951,9,40,Wyoming,"Polio, paralytic"
